t,fC_qlearning,cb_qlearning,fC_fermi,cb_fermi
10,0.50171875,0.06484375,0.0046875,0.00015625
20,0.5028125,0.063125,0.0009375,0.0
30,0.50203125,0.065,0.0,0.0
40,0.50328125,0.0640625,0.0,0.0
50,0.505,0.06484375,0.0,0.0
60,0.50421875,0.0671875,0.0,0.0
70,0.5028125,0.06515625,0.0,0.0
80,0.50578125,0.06421875,0.0,0.0
90,0.505625,0.06625,0.0,0.0
100,0.5065625,0.06671875,0.0,0.0
110,0.50625,0.0634375,0.0,0.0
120,0.50484375,0.06265625,0.0,0.0
130,0.50375,0.061875,0.0,0.0
140,0.5034375,0.06390625,0.0,0.0
150,0.5046875,0.06453125,0.0,0.0
160,0.5053125,0.06484375,0.0,0.0
170,0.5034375,0.06359375,0.0,0.0
180,0.5071875,0.063125,0.0,0.0
190,0.505,0.06234375,0.0,0.0
200,0.50484375,0.065625,0.0,0.0
210,0.505,0.06234375,0.0,0.0
220,0.5046875,0.06453125,0.0,0.0
230,0.50171875,0.0640625,0.0,0.0
240,0.50375,0.065,0.0,0.0
250,0.505625,0.06609375,0.0,0.0
260,0.50328125,0.0646875,0.0,0.0
270,0.50515625,0.0625,0.0,0.0
280,0.50375,0.0640625,0.0,0.0
290,0.505,0.06484375,0.0,0.0
300,0.5028125,0.06390625,0.0,0.0
310,0.5040625,0.065,0.0,0.0
320,0.505,0.064375,0.0,0.0
330,0.50640625,0.0640625,0.0,0.0
340,0.50609375,0.06375,0.0,0.0
350,0.505625,0.0671875,0.0,0.0
360,0.5059375,0.064375,0.0,0.0
370,0.50609375,0.06390625,0.0,0.0
380,0.50375,0.06265625,0.0,0.0
390,0.505625,0.06625,0.0,0.0
400,0.504375,0.065625,0.0,0.0
410,0.505,0.0646875,0.0,0.0
420,0.5046875,0.06171875,0.0,0.0
430,0.50578125,0.0646875,0.0,0.0
440,0.50453125,0.064375,0.0,0.0
450,0.5040625,0.06453125,0.0,0.0
460,0.505625,0.063125,0.0,0.0
470,0.50328125,0.06515625,0.0,0.0
480,0.50328125,0.0646875,0.0,0.0
490,0.5046875,0.06203125,0.0,0.0
500,0.50578125,0.06546875,0.0,0.0
510,0.504375,0.06640625,0.0,0.0
520,0.50484375,0.0646875,0.0,0.0
530,0.505,0.065,0.0,0.0
540,0.5053125,0.0646875,0.0,0.0
550,0.504375,0.0659375,0.0,0.0
560,0.504375,0.06453125,0.0,0.0
570,0.50515625,0.065,0.0,0.0
580,0.50578125,0.06546875,0.0,0.0
590,0.50578125,0.06375,0.0,0.0
600,0.50453125,0.066875,0.0,0.0
610,0.50546875,0.061875,0.0,0.0
620,0.50421875,0.06671875,0.0,0.0
630,0.50359375,0.06484375,0.0,0.0
640,0.5034375,0.06296875,0.0,0.0
650,0.50484375,0.065,0.0,0.0
660,0.503125,0.064375,0.0,0.0
670,0.503125,0.06390625,0.0,0.0
680,0.50390625,0.06328125,0.0,0.0
690,0.50328125,0.06453125,0.0,0.0
700,0.505625,0.0665625,0.0,0.0
710,0.50375,0.06453125,0.0,0.0
720,0.5046875,0.06625,0.0,0.0
730,0.50296875,0.06484375,0.0,0.0
740,0.503125,0.06375,0.0,0.0
750,0.50328125,0.06484375,0.0,0.0
760,0.50609375,0.06453125,0.0,0.0
770,0.504375,0.064375,0.0,0.0
780,0.5059375,0.06796875,0.0,0.0
790,0.50484375,0.06328125,0.0,0.0
800,0.50390625,0.0628125,0.0,0.0
810,0.50546875,0.0640625,0.0,0.0
820,0.50421875,0.0640625,0.0,0.0
830,0.506875,0.0659375,0.0,0.0
840,0.50453125,0.0659375,0.0,0.0
850,0.5046875,0.0646875,0.0,0.0
860,0.50515625,0.06515625,0.0,0.0
870,0.50390625,0.06484375,0.0,0.0
880,0.505,0.0640625,0.0,0.0
890,0.5059375,0.06484375,0.0,0.0
900,0.5078125,0.0621875,0.0,0.0
910,0.5034375,0.06484375,0.0,0.0
920,0.50421875,0.06359375,0.0,0.0
930,0.505,0.0659375,0.0,0.0
940,0.50328125,0.06421875,0.0,0.0
950,0.505,0.06359375,0.0,0.0
960,0.50390625,0.06328125,0.0,0.0
970,0.50625,0.06375,0.0,0.0
980,0.50546875,0.06546875,0.0,0.0
990,0.50359375,0.06546875,0.0,0.0
1000,0.505625,0.06375,0.0,0.0
1010,0.50578125,0.0646875,0.0,0.0
1020,0.504375,0.06546875,0.0,0.0
1030,0.505,0.0659375,0.0,0.0
1040,0.50546875,0.0659375,0.0,0.0
1050,0.5028125,0.0675,0.0,0.0
1060,0.5034375,0.06484375,0.0,0.0
1070,0.503125,0.06703125,0.0,0.0
1080,0.5065625,0.06515625,0.0,0.0
1090,0.5046875,0.06609375,0.0,0.0
1100,0.5065625,0.0646875,0.0,0.0
1110,0.505,0.06484375,0.0,0.0
1120,0.50484375,0.06421875,0.0,0.0
1130,0.5053125,0.06453125,0.0,0.0
1140,0.505,0.06875,0.0,0.0
1150,0.5071875,0.0671875,0.0,0.0
1160,0.50546875,0.06609375,0.0,0.0
1170,0.5059375,0.065625,0.0,0.0
1180,0.50484375,0.06375,0.0,0.0
1190,0.50484375,0.0653125,0.0,0.0
1200,0.505625,0.064375,0.0,0.0
1210,0.50546875,0.06671875,0.0,0.0
1220,0.50484375,0.06515625,0.0,0.0
1230,0.505,0.0640625,0.0,0.0
1240,0.504375,0.06515625,0.0,0.0
1250,0.5034375,0.0628125,0.0,0.0
1260,0.50328125,0.065625,0.0,0.0
1270,0.50296875,0.06484375,0.0,0.0
1280,0.5084375,0.06484375,0.0,0.0
1290,0.5053125,0.0653125,0.0,0.0
1300,0.50375,0.0634375,0.0,0.0
1310,0.50453125,0.06203125,0.0,0.0
1320,0.50390625,0.06375,0.0,0.0
1330,0.5053125,0.06421875,0.0,0.0
1340,0.505,0.06421875,0.0,0.0
1350,0.50421875,0.065625,0.0,0.0
1360,0.50546875,0.0646875,0.0,0.0
1370,0.50734375,0.06484375,0.0,0.0
1380,0.505625,0.06359375,0.0,0.0
1390,0.50609375,0.06421875,0.0,0.0
1400,0.50703125,0.06203125,0.0,0.0
1410,0.50625,0.06296875,0.0,0.0
1420,0.5046875,0.065625,0.0,0.0
1430,0.50390625,0.0653125,0.0,0.0
1440,0.5034375,0.065,0.0,0.0
1450,0.50578125,0.06796875,0.0,0.0
1460,0.5053125,0.06453125,0.0,0.0
1470,0.505,0.06734375,0.0,0.0
1480,0.5046875,0.065625,0.0,0.0
1490,0.50703125,0.06515625,0.0,0.0
1500,0.50359375,0.06515625,0.0,0.0
1510,0.50671875,0.06359375,0.0,0.0
1520,0.50390625,0.06609375,0.0,0.0
1530,0.50671875,0.0634375,0.0,0.0
1540,0.50484375,0.0659375,0.0,0.0
1550,0.50671875,0.0640625,0.0,0.0
1560,0.50390625,0.06421875,0.0,0.0
1570,0.504375,0.06546875,0.0,0.0
1580,0.50453125,0.0653125,0.0,0.0
1590,0.50703125,0.0659375,0.0,0.0
1600,0.50671875,0.0659375,0.0,0.0
1610,0.50625,0.06390625,0.0,0.0
1620,0.50703125,0.06515625,0.0,0.0
1630,0.5040625,0.06484375,0.0,0.0
1640,0.5078125,0.06375,0.0,0.0
1650,0.508125,0.06515625,0.0,0.0
1660,0.5059375,0.065,0.0,0.0
1670,0.5065625,0.06453125,0.0,0.0
1680,0.50703125,0.06609375,0.0,0.0
1690,0.50671875,0.0653125,0.0,0.0
1700,0.5046875,0.065,0.0,0.0
1710,0.5053125,0.0634375,0.0,0.0
1720,0.508125,0.06609375,0.0,0.0
1730,0.50671875,0.0653125,0.0,0.0
1740,0.50671875,0.06484375,0.0,0.0
1750,0.50421875,0.0675,0.0,0.0
1760,0.50734375,0.0634375,0.0,0.0
1770,0.50625,0.064375,0.0,0.0
1780,0.506875,0.06609375,0.0,0.0
1790,0.5065625,0.0653125,0.0,0.0
1800,0.5071875,0.06453125,0.0,0.0
1810,0.50671875,0.0653125,0.0,0.0
1820,0.50625,0.064375,0.0,0.0
1830,0.50765625,0.0640625,0.0,0.0
1840,0.50765625,0.065,0.0,0.0
1850,0.505625,0.0659375,0.0,0.0
1860,0.5078125,0.06515625,0.0,0.0
1870,0.508125,0.065625,0.0,0.0
1880,0.506875,0.06546875,0.0,0.0
1890,0.50765625,0.06671875,0.0,0.0
1900,0.50421875,0.06484375,0.0,0.0
1910,0.50875,0.06484375,0.0,0.0
1920,0.5059375,0.06390625,0.0,0.0
1930,0.50640625,0.0665625,0.0,0.0
1940,0.50796875,0.06671875,0.0,0.0
1950,0.5084375,0.06734375,0.0,0.0
1960,0.5075,0.0653125,0.0,0.0
1970,0.50890625,0.06734375,0.0,0.0
1980,0.510625,0.066875,0.0,0.0
1990,0.50859375,0.06640625,0.0,0.0
2000,0.510625,0.06484375,0.0,0.0
2010,0.509375,0.06734375,0.0,0.0
2020,0.509375,0.068125,0.0,0.0
2030,0.50890625,0.0671875,0.0,0.0
2040,0.509375,0.0678125,0.0,0.0
2050,0.50875,0.06703125,0.0,0.0
2060,0.509375,0.06671875,0.0,0.0
2070,0.5109375,0.0646875,0.0,0.0
2080,0.50921875,0.0671875,0.0,0.0
2090,0.510625,0.06703125,0.0,0.0
2100,0.51203125,0.066875,0.0,0.0
2110,0.51203125,0.0678125,0.0,0.0
2120,0.5090625,0.06875,0.0,0.0
2130,0.5109375,0.06734375,0.0,0.0
2140,0.50921875,0.06296875,0.0,0.0
2150,0.513125,0.06671875,0.0,0.0
2160,0.51171875,0.06703125,0.0,0.0
2170,0.51203125,0.066875,0.0,0.0
2180,0.51109375,0.066875,0.0,0.0
2190,0.51234375,0.06703125,0.0,0.0
2200,0.51171875,0.06609375,0.0,0.0
2210,0.51328125,0.06578125,0.0,0.0
2220,0.51234375,0.06765625,0.0,0.0
2230,0.51140625,0.06671875,0.0,0.0
2240,0.5146875,0.0665625,0.0,0.0
2250,0.5153125,0.06765625,0.0,0.0
2260,0.51375,0.0659375,0.0,0.0
2270,0.51453125,0.0678125,0.0,0.0
2280,0.51421875,0.0678125,0.0,0.0
2290,0.5146875,0.06828125,0.0,0.0
2300,0.5134375,0.06859375,0.0,0.0
2310,0.51609375,0.06828125,0.0,0.0
2320,0.51453125,0.06625,0.0,0.0
2330,0.5146875,0.0703125,0.0,0.0
2340,0.51671875,0.06890625,0.0,0.0
2350,0.5159375,0.06890625,0.0,0.0
2360,0.515625,0.06890625,0.0,0.0
2370,0.518125,0.065,0.0,0.0
2380,0.51765625,0.0678125,0.0,0.0
2390,0.51859375,0.068125,0.0,0.0
2400,0.519375,0.06578125,0.0,0.0
2410,0.516875,0.06734375,0.0,0.0
2420,0.51671875,0.06875,0.0,0.0
2430,0.515625,0.069375,0.0,0.0
2440,0.5203125,0.0678125,0.0,0.0
2450,0.51890625,0.06484375,0.0,0.0
2460,0.518125,0.0684375,0.0,0.0
2470,0.51875,0.06953125,0.0,0.0
2480,0.51796875,0.06859375,0.0,0.0
2490,0.52046875,0.06921875,0.0,0.0
2500,0.52,0.06828125,0.0,0.0
2510,0.52109375,0.0715625,0.0,0.0
2520,0.519375,0.07046875,0.0,0.0
2530,0.5215625,0.07078125,0.0,0.0
2540,0.520625,0.06984375,0.0,0.0
2550,0.52375,0.07015625,0.0,0.0
2560,0.52234375,0.06890625,0.0,0.0
2570,0.52109375,0.070625,0.0,0.0
2580,0.52265625,0.07046875,0.0,0.0
2590,0.525,0.07015625,0.0,0.0
2600,0.52453125,0.070625,0.0,0.0
2610,0.52375,0.06984375,0.0,0.0
2620,0.52484375,0.07140625,0.0,0.0
2630,0.52359375,0.07234375,0.0,0.0
2640,0.525,0.0690625,0.0,0.0
2650,0.5259375,0.07203125,0.0,0.0
2660,0.52609375,0.07234375,0.0,0.0
2670,0.5271875,0.07125,0.0,0.0
2680,0.52703125,0.0709375,0.0,0.0
2690,0.5271875,0.07125,0.0,0.0
2700,0.52984375,0.07,0.0,0.0
2710,0.5253125,0.0709375,0.0,0.0
2720,0.52734375,0.06921875,0.0,0.0
2730,0.52859375,0.0721875,0.0,0.0
2740,0.52890625,0.07140625,0.0,0.0
2750,0.53234375,0.07359375,0.0,0.0
2760,0.52921875,0.0678125,0.0,0.0
2770,0.52984375,0.07234375,0.0,0.0
2780,0.53078125,0.07140625,0.0,0.0
2790,0.533125,0.07203125,0.0,0.0
2800,0.52984375,0.071875,0.0,0.0
2810,0.531875,0.0721875,0.0,0.0
2820,0.5328125,0.07328125,0.0,0.0
2830,0.5321875,0.07515625,0.0,0.0
2840,0.53203125,0.07125,0.0,0.0
2850,0.53328125,0.071875,0.0,0.0
2860,0.531875,0.07265625,0.0,0.0
2870,0.53421875,0.07453125,0.0,0.0
2880,0.53328125,0.073125,0.0,0.0
2890,0.5353125,0.073125,0.0,0.0
2900,0.53625,0.07390625,0.0,0.0
2910,0.53671875,0.075625,0.0,0.0
2920,0.53859375,0.07578125,0.0,0.0
2930,0.53546875,0.07671875,0.0,0.0
2940,0.53890625,0.07453125,0.0,0.0
2950,0.5371875,0.07578125,0.0,0.0
2960,0.5371875,0.07546875,0.0,0.0
2970,0.53984375,0.0746875,0.0,0.0
2980,0.53921875,0.075625,0.0,0.0
2990,0.5390625,0.07609375,0.0,0.0
3000,0.5409375,0.07625,0.0,0.0
3010,0.5409375,0.0746875,0.0,0.0
3020,0.53984375,0.0740625,0.0,0.0
3030,0.5434375,0.074375,0.0,0.0
3040,0.54453125,0.0759375,0.0,0.0
3050,0.54265625,0.07515625,0.0,0.0
3060,0.5440625,0.076875,0.0,0.0
3070,0.54328125,0.07578125,0.0,0.0
3080,0.54578125,0.0765625,0.0,0.0
3090,0.54734375,0.0771875,0.0,0.0
3100,0.546875,0.07828125,0.0,0.0
3110,0.5490625,0.07828125,0.0,0.0
3120,0.54625,0.079375,0.0,0.0
3130,0.54875,0.0778125,0.0,0.0
3140,0.5509375,0.0790625,0.0,0.0
3150,0.546875,0.0765625,0.0,0.0
3160,0.55421875,0.0784375,0.0,0.0
3170,0.55125,0.0784375,0.0,0.0
3180,0.55125,0.079375,0.0,0.0
3190,0.5503125,0.07859375,0.0,0.0
3200,0.550625,0.08015625,0.0,0.0
3210,0.55125,0.07828125,0.0,0.0
3220,0.5534375,0.0796875,0.0,0.0
3230,0.555625,0.07859375,0.0,0.0
3240,0.55328125,0.076875,0.0,0.0
3250,0.555,0.07875,0.0,0.0
3260,0.55390625,0.07953125,0.0,0.0
3270,0.55578125,0.0809375,0.0,0.0
3280,0.555625,0.07765625,0.0,0.0
3290,0.55875,0.0796875,0.0,0.0
3300,0.55765625,0.07953125,0.0,0.0
3310,0.5578125,0.08078125,0.0,0.0
3320,0.55984375,0.07953125,0.0,0.0
3330,0.56234375,0.0821875,0.0,0.0
3340,0.559375,0.0796875,0.0,0.0
3350,0.55984375,0.0821875,0.0,0.0
3360,0.55875,0.08234375,0.0,0.0
3370,0.5584375,0.0803125,0.0,0.0
3380,0.56375,0.0796875,0.0,0.0
3390,0.56296875,0.08375,0.0,0.0
3400,0.563125,0.0809375,0.0,0.0
3410,0.56203125,0.08,0.0,0.0
3420,0.5634375,0.08328125,0.0,0.0
3430,0.5628125,0.07828125,0.0,0.0
3440,0.56609375,0.08328125,0.0,0.0
3450,0.5646875,0.081875,0.0,0.0
3460,0.56625,0.0834375,0.0,0.0
3470,0.5665625,0.085625,0.0,0.0
3480,0.56578125,0.0821875,0.0,0.0
3490,0.56796875,0.08484375,0.0,0.0
3500,0.56828125,0.0853125,0.0,0.0
3510,0.5671875,0.0825,0.0,0.0
3520,0.5675,0.084375,0.0,0.0
3530,0.56875,0.08359375,0.0,0.0
3540,0.56859375,0.08515625,0.0,0.0
3550,0.56828125,0.085,0.0,0.0
3560,0.5696875,0.0853125,0.0,0.0
3570,0.5725,0.085,0.0,0.0
3580,0.57109375,0.08375,0.0,0.0
3590,0.57140625,0.0846875,0.0,0.0
3600,0.57328125,0.0890625,0.0,0.0
3610,0.5709375,0.08796875,0.0,0.0
3620,0.57234375,0.08765625,0.0,0.0
3630,0.575,0.08875,0.0,0.0
3640,0.575,0.0884375,0.0,0.0
3650,0.57671875,0.0896875,0.0,0.0
3660,0.5765625,0.089375,0.0,0.0
3670,0.575,0.0853125,0.0,0.0
3680,0.579375,0.0896875,0.0,0.0
3690,0.5778125,0.08921875,0.0,0.0
3700,0.57796875,0.09125,0.0,0.0
3710,0.57703125,0.0865625,0.0,0.0
3720,0.58125,0.08796875,0.0,0.0
3730,0.578125,0.08953125,0.0,0.0
3740,0.57984375,0.08890625,0.0,0.0
3750,0.58265625,0.09046875,0.0,0.0
3760,0.583125,0.09109375,0.0,0.0
3770,0.579375,0.0909375,0.0,0.0
3780,0.5815625,0.09078125,0.0,0.0
3790,0.58234375,0.0896875,0.0,0.0
3800,0.58109375,0.08921875,0.0,0.0
3810,0.585,0.09125,0.0,0.0
3820,0.58421875,0.09109375,0.0,0.0
3830,0.58140625,0.09171875,0.0,0.0
3840,0.5834375,0.08890625,0.0,0.0
3850,0.58328125,0.0890625,0.0,0.0
3860,0.5859375,0.08921875,0.0,0.0
3870,0.58390625,0.09328125,0.0,0.0
3880,0.584375,0.09453125,0.0,0.0
3890,0.585625,0.0925,0.0,0.0
3900,0.58609375,0.0925,0.0,0.0
3910,0.58640625,0.09390625,0.0,0.0
3920,0.5878125,0.09328125,0.0,0.0
3930,0.58578125,0.09234375,0.0,0.0
3940,0.58859375,0.09265625,0.0,0.0
3950,0.5871875,0.09296875,0.0,0.0
3960,0.586875,0.09328125,0.0,0.0
3970,0.58671875,0.091875,0.0,0.0
3980,0.5903125,0.0953125,0.0,0.0
3990,0.58921875,0.0953125,0.0,0.0
4000,0.59046875,0.09578125,0.0,0.0
4010,0.59171875,0.0959375,0.0,0.0
4020,0.59140625,0.09609375,0.0,0.0
4030,0.59046875,0.0975,0.0,0.0
4040,0.59,0.0965625,0.0,0.0
4050,0.59140625,0.09546875,0.0,0.0
4060,0.59171875,0.095,0.0,0.0
4070,0.59421875,0.096875,0.0,0.0
4080,0.5934375,0.0984375,0.0,0.0
4090,0.59484375,0.09703125,0.0,0.0
4100,0.59765625,0.09578125,0.0,0.0
4110,0.595,0.0990625,0.0,0.0
4120,0.59453125,0.0975,0.0,0.0
4130,0.59421875,0.09203125,0.0,0.0
4140,0.59484375,0.09890625,0.0,0.0
4150,0.595,0.098125,0.0,0.0
4160,0.59796875,0.0990625,0.0,0.0
4170,0.59671875,0.09796875,0.0,0.0
4180,0.6003125,0.0996875,0.0,0.0
4190,0.59890625,0.1003125,0.0,0.0
4200,0.598125,0.096875,0.0,0.0
4210,0.59734375,0.0990625,0.0,0.0
4220,0.5975,0.09953125,0.0,0.0
4230,0.59984375,0.10046875,0.0,0.0
4240,0.59796875,0.0996875,0.0,0.0
4250,0.599375,0.0978125,0.0,0.0
4260,0.6015625,0.10078125,0.0,0.0
4270,0.599375,0.09984375,0.0,0.0
4280,0.6028125,0.1009375,0.0,0.0
4290,0.60140625,0.10109375,0.0,0.0
4300,0.60328125,0.10296875,0.0,0.0
4310,0.60234375,0.10125,0.0,0.0
4320,0.60359375,0.1025,0.0,0.0
4330,0.60296875,0.10109375,0.0,0.0
4340,0.605625,0.10140625,0.0,0.0
4350,0.60359375,0.10390625,0.0,0.0
4360,0.60109375,0.10078125,0.0,0.0
4370,0.6059375,0.10265625,0.0,0.0
4380,0.60359375,0.1025,0.0,0.0
4390,0.60828125,0.10328125,0.0,0.0
4400,0.60890625,0.1040625,0.0,0.0
4410,0.6053125,0.1028125,0.0,0.0
4420,0.60765625,0.1025,0.0,0.0
4430,0.60703125,0.10265625,0.0,0.0
4440,0.60609375,0.1,0.0,0.0
4450,0.605,0.10046875,0.0,0.0
4460,0.60765625,0.10328125,0.0,0.0
4470,0.6059375,0.1025,0.0,0.0
4480,0.6071875,0.1028125,0.0,0.0
4490,0.6096875,0.105625,0.0,0.0
4500,0.608125,0.1046875,0.0,0.0
4510,0.61109375,0.10359375,0.0,0.0
4520,0.60875,0.10796875,0.0,0.0
4530,0.610625,0.10546875,0.0,0.0
4540,0.60984375,0.10421875,0.0,0.0
4550,0.61015625,0.10546875,0.0,0.0
4560,0.61234375,0.105,0.0,0.0
4570,0.61015625,0.10515625,0.0,0.0
4580,0.610625,0.10765625,0.0,0.0
4590,0.6140625,0.10390625,0.0,0.0
4600,0.6109375,0.1053125,0.0,0.0
4610,0.6128125,0.10359375,0.0,0.0
4620,0.61453125,0.1075,0.0,0.0
4630,0.61328125,0.10484375,0.0,0.0
4640,0.61328125,0.105,0.0,0.0
4650,0.61234375,0.11,0.0,0.0
4660,0.6140625,0.1071875,0.0,0.0
4670,0.6115625,0.10453125,0.0,0.0
4680,0.6159375,0.104375,0.0,0.0
4690,0.61671875,0.10765625,0.0,0.0
4700,0.616875,0.1096875,0.0,0.0
4710,0.61375,0.1078125,0.0,0.0
4720,0.6153125,0.109375,0.0,0.0
4730,0.61515625,0.10796875,0.0,0.0
4740,0.61703125,0.10828125,0.0,0.0
4750,0.61828125,0.10859375,0.0,0.0
4760,0.6190625,0.10796875,0.0,0.0
4770,0.619375,0.10890625,0.0,0.0
4780,0.6178125,0.1075,0.0,0.0
4790,0.62,0.11015625,0.0,0.0
4800,0.62015625,0.10984375,0.0,0.0
4810,0.61875,0.1084375,0.0,0.0
4820,0.6165625,0.1084375,0.0,0.0
4830,0.62296875,0.11015625,0.0,0.0
4840,0.61984375,0.11015625,0.0,0.0
4850,0.61953125,0.11046875,0.0,0.0
4860,0.6190625,0.10984375,0.0,0.0
4870,0.62015625,0.11,0.0,0.0
4880,0.62046875,0.11140625,0.0,0.0
4890,0.6209375,0.1090625,0.0,0.0
4900,0.62015625,0.10828125,0.0,0.0
4910,0.6221875,0.11125,0.0,0.0
4920,0.62296875,0.1084375,0.0,0.0
4930,0.624375,0.11171875,0.0,0.0
4940,0.62390625,0.11140625,0.0,0.0
4950,0.6215625,0.10734375,0.0,0.0
4960,0.62484375,0.1115625,0.0,0.0
4970,0.6234375,0.11015625,0.0,0.0
4980,0.62828125,0.11109375,0.0,0.0
4990,0.62609375,0.11109375,0.0,0.0
5000,0.62703125,0.11078125,0.0,0.0
