allow_forced_l_in_cd,kappa,pi0,r,update_rule,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,,# GRID = {'r': [1.2,1.4,1.6,1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [5, 10], 'kappa': [0.1, 1], 'update_rule': ['best_rational', 'best_imitation']},,,,
TRUE,1,5,1.2,best_rational,0,0,1,5.2610736000000005,0.1079673048366661,124995153.4,-124982000.7,,,,# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=5.0, r=1.6, sigma=0.25, alpha=1.0, gamma=20.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='cumulative', seed=0, allow_forced_l_in_cd=False, update_rule='fermi')
TRUE,0.1,5,1.2,best_rational,0,0,1,5.2610736000000005,0.1079673048366661,124995153.4,-124982000.7,,,,# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,
TRUE,1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0.96,114745.08084210522,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.6,best_imitation,0.5136,0.4864,0,36.39724149575787,0.05628985225945212,0,90993.10373939466,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0,114746.04084210523,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.6,best_imitation,0.5136,0.486384,1.6e-05,36.47621682207362,0.05444567045774117,1998.7,89191.84205518404,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.4,best_rational,0,0,1,5.4607952,0.11926566788777185,124995153.4,-124981501.4,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.4,best_rational,0,0,1,5.4607952,0.11926566788777185,124995153.4,-124981501.4,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.4,best_imitation,0.910112,0.08988000000000002,8e-06,43.980765617146204,0.03186665118357759,1027.16,108924.75404286552,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.6,best_imitation,0.5155280000000001,0.484008,0.00046400000000000006,36.510740337173715,0.054013138719893855,45500.64,45776.21084293429,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.6,best_imitation,0.515536,0.48446400000000006,0,36.53919440033161,0.05329007893127662,0,91347.98600082904,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.4,best_imitation,0.910464,0.08953600000000002,0,43.98988966824136,0.03171065852662922,0,109974.72417060338,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.6,best_rational,0,0,1,5.6605168,0.13197465898835226,124995153.4,-124981002.1,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.561391737363486,0.06014514166883342,0,98903.47934340872,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.6,best_rational,0,0,1,5.6605168,0.13197465898835226,124995153.4,-124981002.1,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.6,best_imitation,0.5155280000000001,0.484008,0.00046400000000000006,36.510740337173715,0.054013138719893855,45500.64,45776.21084293429,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.5832987813201,0.05963553488787235,996.9,97961.34695330024,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.6,best_imitation,0.515536,0.48446400000000006,0,36.53919440033161,0.05329007893127662,0,91347.98600082904,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.8,best_rational,0,0,1,5.860238399999999,0.14543033951390952,124995153.4,-124980502.8,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.8,best_rational,0,0,1,5.860238399999999,0.14543033951390952,124995153.4,-124980502.8,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.8,best_imitation,0.51408,0.48591999999999996,0,39.59586295661233,0.059655913797781936,0,98989.65739153081,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.8,best_imitation,0.514056,0.485472,0.00047200000000000003,39.60324326387746,0.059496901117538255,47498.12,51509.988159693654,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.8,best_imitation,0.514056,0.485472,0.00047200000000000003,39.60324326387746,0.059496901117538255,47498.12,51509.988159693654,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.8,best_imitation,0.51408,0.48591999999999996,0,39.59586295661233,0.059655913797781936,0,98989.65739153081,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,2,best_rational,0,0,1,6.059960000000001,0.15799891592416312,124995153.4,-124980003.5,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0.1,106748.44250744488,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,2,best_rational,0,0,1,6.059960000000001,0.15799891592416312,124995153.4,-124980003.5,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,2,best_imitation,0.519784,0.47924,0.0009760000000000002,42.70717336081992,0.06412809757352826,91497.76,15270.173402049817,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0,106748.54250744489,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,2,best_imitation,0.519832,0.4801680000000001,0,42.77100072924099,0.0627336821716238,0,106927.50182310246,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.2,best_rational,0,0,1,10.2610736,0.055357286917748445,124995153.4,-124969500.7,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.2,best_rational,0,0,1,10.2610736,0.055357286917748445,124995153.4,-124969500.7,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,2,best_imitation,0.519784,0.47924,0.0009760000000000002,42.70717336081992,0.06412809757352826,91497.76,15270.173402049817,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,2,best_imitation,0.519832,0.4801680000000001,0,42.77100072924099,0.0627336821716238,0,106927.50182310246,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.4,best_rational,0,0,1,10.460795199999998,0.062259854664409586,124995153.4,-124969001.4,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.4,best_imitation,0.910112,0.08988000000000002,8e-06,43.980765617146204,0.03186665118357759,1027.16,108924.75404286552,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.4,best_rational,0,0,1,10.460795199999998,0.062259854664409586,124995153.4,-124969001.4,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0.4,110074.39258120733,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.4,best_imitation,0.910464,0.08953600000000002,0,43.98988966824136,0.03171065852662922,0,109974.72417060338,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.6,best_rational,0,0,1,10.6605168,0.07007620020668055,124995153.4,-124968502.1,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0,110074.79258120732,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.6,best_rational,0,0,1,10.6605168,0.07007620020668055,124995153.4,-124968502.1,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0.4,110074.39258120733,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.6,best_imitation,0.5136,0.486384,1.6e-05,36.47621682207362,0.05444567045774117,1998.7,89191.84205518404,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0,110074.79258120732,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.6,best_imitation,0.5136,0.4864,0,36.39724149575787,0.05628985225945212,0,90993.10373939466,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.8,best_rational,0,0,1,10.8602384,0.07847544838551633,124995153.4,-124968002.8,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.8,best_rational,0,0,1,10.8602384,0.07847544838551633,124995153.4,-124968002.8,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.5832987813201,0.05963553488787235,996.9,97961.34695330024,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,2,best_rational,0,0,1,11.05996,0.08657128016670962,124995153.4,-124967503.5,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.561391737363486,0.06014514166883342,0,98903.47934340872,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,2,best_rational,0,0,1,11.05996,0.08657128016670962,124995153.4,-124967503.5,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0.96,114745.08084210522,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0.1,106748.44250744488,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0,114746.04084210523,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0,106748.54250744489,,,,,,,,,,,,,,,,,,,,
