t,frac_C,frac_D,frac_L,avg_res,gini,,,t,frac_L
0,0.5,0.5,0,10,0,,,0,0
250,0.6852,0.3096,0.0052,84.77154741096304,0.0859451038182021,,,250,0.0052
500,0.688,0.3076,0.0044,85.14508858378744,0.08189930363111173,,,500,0.0044
750,0.6884,0.3072,0.0044,85.23638834578912,0.08119106335816424,,,750,0.0044
1000,0.6884,0.3072,0.0044,85.26679271554693,0.08084912948031991,,,1000,0.0044
1250,0.6888,0.3068,0.0044,85.27954597534149,0.0806902543354433,,,1250,0.0044
1500,0.6896,0.3064,0.004,85.29563683362038,0.08051358875219136,,,1500,0.004
1750,0.6896,0.3064,0.004,85.30090180554394,0.08045249467165978,,,1750,0.004
2000,0.6896,0.3064,0.004,85.31159378262561,0.08031934220248486,,,2000,0.004
2250,0.6896,0.3064,0.004,85.3157524250168,0.08026829476522843,,,2250,0.004
2500,0.6896,0.3064,0.004,85.36426407161241,0.07974492772806378,,,2500,0.004
2750,0.6888,0.3068,0.0044,85.3812815462829,0.07958143984892764,,,2750,0.0044
3000,0.6896,0.3056,0.0048,85.37817685020163,0.07960536424389864,,,3000,0.0048
3250,0.6896,0.3056,0.0048,85.37767330375756,0.07960934917940769,,,3250,0.0048
3500,0.6896,0.3056,0.0048,85.37590063051017,0.07962509408754137,,,3500,0.0048
3750,0.69,0.3056,0.0044,85.37697935749866,0.07961255690331828,,,3750,0.0044
4000,0.6896,0.306,0.0044,85.38532201166801,0.07952000062678166,,,4000,0.0044
4250,0.6904,0.3048,0.0048,85.38430210232862,0.07952341178334829,,,4250,0.0048
4500,0.69,0.3052,0.0048,85.38624156396759,0.07951161935247199,,,4500,0.0048
4750,0.69,0.3052,0.0048,85.3850823802033,0.07952109054280729,,,4750,0.0048
5000,0.69,0.3052,0.0048,85.38549104782457,0.07951580393107201,,,5000,0.0048
5250,0.6904,0.3048,0.0048,85.38804447182959,0.07947085904569018,,,5250,0.0048
5500,0.6908,0.3044,0.0048,85.40470452237878,0.07938005491429607,,,5500,0.0048
5750,0.6904,0.3048,0.0048,85.40793119322045,0.0793572652509895,,,5750,0.0048
6000,0.6904,0.3048,0.0048,85.40686703053666,0.0793660677722068,,,6000,0.0048
6250,0.6904,0.3048,0.0048,85.40773553013761,0.0793588199003884,,,6250,0.0048
6500,0.6904,0.3048,0.0048,85.40870858309955,0.07935074111555815,,,6500,0.0048
6750,0.69,0.3056,0.0044,85.40953139631979,0.07934675440863072,,,6750,0.0044
7000,0.6904,0.3052,0.0044,85.41188916929487,0.07932139121694094,,,7000,0.0044
7250,0.6904,0.3052,0.0044,85.4095437892176,0.07934935100894819,,,7250,0.0044
7500,0.6904,0.3052,0.0044,85.40831970931693,0.079359022035256,,,7500,0.0044
7750,0.6904,0.3052,0.0044,85.40863118003537,0.07935417989875937,,,7750,0.0044
8000,0.6904,0.3044,0.0052,85.40676941596394,0.07936888653647432,,,8000,0.0052
8250,0.6908,0.304,0.0052,85.40743427814415,0.07936136503725673,,,8250,0.0052
8500,0.6908,0.304,0.0052,85.40603499872992,0.07937359265173242,,,8500,0.0052
8750,0.6908,0.304,0.0052,85.40603179016526,0.07937197830629567,,,8750,0.0052
9000,0.6904,0.3048,0.0048,85.40886681240455,0.07934653963902698,,,9000,0.0048
9250,0.69,0.3052,0.0048,85.40897086155526,0.07934845091845927,,,9250,0.0048
9500,0.6896,0.3056,0.0048,85.40916478105464,0.07934601449439647,,,9500,0.0048
9750,0.69,0.3052,0.0048,85.40819952918598,0.07935387164304462,,,9750,0.0048
10000,0.69,0.3052,0.0048,85.4074950786225,0.07935882248325554,,,10000,0.0048
10250,0.6896,0.3056,0.0048,85.40754005843068,0.07936076330516717,,,10250,0.0048
10500,0.6896,0.3052,0.0052,85.4079904546086,0.0793590103763025,,,10500,0.0052
10750,0.6896,0.3052,0.0052,85.4104107721153,0.07934470424275765,,,10750,0.0052
11000,0.6896,0.3056,0.0048,85.4097390330946,0.07935021475173461,,,11000,0.0048
11250,0.69,0.3052,0.0048,85.4101237578765,0.07934336553451203,,,11250,0.0048
11500,0.69,0.3052,0.0048,85.40912525723016,0.07935090134938809,,,11500,0.0048
11750,0.69,0.3052,0.0048,85.4093009558262,0.07934739705803495,,,11750,0.0048
12000,0.6904,0.3044,0.0052,85.40784892925821,0.0793582498044204,,,12000,0.0052
12250,0.6908,0.304,0.0052,85.40845874565478,0.07935209147397605,,,12250,0.0052
12500,0.6908,0.304,0.0052,85.40817121302526,0.07935351339619201,,,12500,0.0052
12750,0.6908,0.304,0.0052,85.40713541064467,0.07936008350809903,,,12750,0.0052
13000,0.6908,0.304,0.0052,85.4186793114487,0.07926888327635642,,,13000,0.0052
13250,0.6908,0.304,0.0052,85.40712223086534,0.07935838439395748,,,13250,0.0052
13500,0.69,0.3048,0.0052,85.40800796972553,0.07935036343727699,,,13500,0.0052
13750,0.69,0.3048,0.0052,85.41087508257235,0.07932990035823673,,,13750,0.0052
14000,0.69,0.3048,0.0052,85.41097326782206,0.07932989270499767,,,14000,0.0052
14250,0.69,0.3048,0.0052,85.40907610221564,0.0793452426743929,,,14250,0.0052
14500,0.69,0.3048,0.0052,85.40978436772006,0.07933868464527268,,,14500,0.0052
14750,0.6892,0.3056,0.0052,85.4127126048836,0.07931975432681433,,,14750,0.0052
15000,0.69,0.3052,0.0048,85.40962656209557,0.07934333754749939,,,15000,0.0048
15250,0.69,0.3052,0.0048,85.40892469049122,0.0793492431334403,,,15250,0.0048
15500,0.69,0.3052,0.0048,85.40888292280734,0.07934850629961201,,,15500,0.0048
15750,0.6892,0.306,0.0048,85.41179049648554,0.07932531548481825,,,15750,0.0048
16000,0.69,0.3052,0.0048,85.40903400856998,0.07934651553082786,,,16000,0.0048
16250,0.6904,0.3048,0.0048,85.41103018374558,0.07933034932208693,,,16250,0.0048
16500,0.6908,0.3044,0.0048,85.41014123722489,0.0793363929911108,,,16500,0.0048
16750,0.6904,0.3048,0.0048,85.40901536449405,0.07934453873765344,,,16750,0.0048
17000,0.6908,0.3044,0.0048,85.41018075690809,0.07933507568742697,,,17000,0.0048
17250,0.6908,0.3044,0.0048,85.40951626895861,0.07933876463942466,,,17250,0.0048
17500,0.6904,0.3048,0.0048,85.41009496679611,0.07933339163001529,,,17500,0.0048
17750,0.6904,0.3048,0.0048,85.41008177639348,0.0793352334916216,,,17750,0.0048
18000,0.6908,0.3044,0.0048,85.40945556034953,0.07934043054607212,,,18000,0.0048
18250,0.6908,0.3044,0.0048,85.40750243196466,0.07935623714334443,,,18250,0.0048
18500,0.6916,0.3036,0.0048,85.51296609925853,0.07814166384909041,,,18500,0.0048
18750,0.6908,0.3044,0.0048,85.51943254111274,0.0780749771003756,,,18750,0.0048
19000,0.6912,0.304,0.0048,85.52336093170237,0.07802482398957553,,,19000,0.0048
19250,0.6912,0.304,0.0048,85.52708713923381,0.07797746851854366,,,19250,0.0048
19500,0.6912,0.304,0.0048,85.53236869207285,0.07791661524083017,,,19500,0.0048
19750,0.6908,0.3044,0.0048,85.53112928259338,0.07792446425691966,,,19750,0.0048
20000,0.6904,0.3048,0.0048,85.53306895892787,0.07791215603106867,,,20000,0.0048
20250,0.6908,0.3044,0.0048,85.53423829007659,0.077903216102713,,,20250,0.0048
20500,0.6908,0.3044,0.0048,85.5342847837964,0.07790062787209254,,,20500,0.0048
20750,0.6908,0.3044,0.0048,85.53529307736291,0.07789202613738809,,,20750,0.0048
21000,0.6916,0.3036,0.0048,85.55412182282325,0.07774706229431051,,,21000,0.0048
21250,0.6908,0.3044,0.0048,85.53257455689045,0.07791322010126697,,,21250,0.0048
21500,0.6908,0.3044,0.0048,85.53190850280382,0.07791669589647542,,,21500,0.0048
21750,0.6912,0.304,0.0048,85.5332915297021,0.0779058481306449,,,21750,0.0048
22000,0.6908,0.3044,0.0048,85.53372819406658,0.07790255555369346,,,22000,0.0048
22250,0.6912,0.304,0.0048,85.5321234297244,0.07791569768785858,,,22250,0.0048
22500,0.6912,0.304,0.0048,85.53420466396116,0.07789902955135672,,,22500,0.0048
22750,0.6904,0.3048,0.0048,85.53756851685857,0.0778743657697871,,,22750,0.0048
23000,0.6904,0.3048,0.0048,85.53661338867376,0.0778824576689052,,,23000,0.0048
23250,0.6908,0.3044,0.0048,85.53624341223286,0.07788656845591445,,,23250,0.0048
23500,0.6904,0.3048,0.0048,85.53642703372981,0.07788493154049857,,,23500,0.0048
23750,0.69,0.3052,0.0048,85.53648968780433,0.07788216449276789,,,23750,0.0048
24000,0.6912,0.304,0.0048,85.53336265115634,0.07790748487342632,,,24000,0.0048
24250,0.6916,0.3036,0.0048,85.53480482760705,0.07789628932144194,,,24250,0.0048
24500,0.6916,0.3036,0.0048,85.53381184611693,0.07790350954272904,,,24500,0.0048
24750,0.6916,0.3036,0.0048,85.53240249183042,0.07791420890547018,,,24750,0.0048
25000,0.6912,0.304,0.0048,85.53342407770958,0.07790392448534021,,,25000,0.0048
25250,0.6912,0.304,0.0048,85.53285101218535,0.07790773255155446,,,25250,0.0048
25500,0.6908,0.3044,0.0048,85.53170524263922,0.07791612399983483,,,25500,0.0048
25750,0.6908,0.3044,0.0048,85.53318761323851,0.07790506990828458,,,25750,0.0048
26000,0.6912,0.304,0.0048,85.5322887570936,0.07791193857315773,,,26000,0.0048
26250,0.6904,0.3048,0.0048,85.54234389146453,0.07782235651562362,,,26250,0.0048
26500,0.6916,0.3036,0.0048,85.53129114888281,0.07791963461126991,,,26500,0.0048
26750,0.69,0.3052,0.0048,85.53730717033514,0.07788045609382661,,,26750,0.0048
27000,0.69,0.3052,0.0048,85.53679473873815,0.07788444034046173,,,27000,0.0048
27250,0.6904,0.3048,0.0048,85.53600575732284,0.07789101415194487,,,27250,0.0048
27500,0.6904,0.3048,0.0048,85.53451535996497,0.07790211796324882,,,27500,0.0048
27750,0.6896,0.3056,0.0048,85.53612979137917,0.07788608789321502,,,27750,0.0048
28000,0.6904,0.3048,0.0048,85.53426438752068,0.07790004136290306,,,28000,0.0048
28250,0.6916,0.3036,0.0048,85.53492141759013,0.07789537722019813,,,28250,0.0048
28500,0.6912,0.304,0.0048,85.53463458117025,0.07789791186820212,,,28500,0.0048
28750,0.6916,0.3036,0.0048,85.53365337025618,0.07790499925626264,,,28750,0.0048
29000,0.6912,0.304,0.0048,85.53541888099834,0.07788827273089348,,,29000,0.0048
29250,0.6916,0.3036,0.0048,85.53433439288065,0.07789518530428433,,,29250,0.0048
29500,0.6924,0.3028,0.0048,85.5678951357629,0.07765106454494476,,,29500,0.0048
29750,0.694,0.302,0.004,85.74567321471238,0.07575061219429813,,,29750,0.004
30000,0.6928,0.3032,0.004,85.71830665193866,0.07601656420423179,,,30000,0.004
30250,0.6924,0.3036,0.004,85.68043110025852,0.07644147310975447,,,30250,0.004
30500,0.6928,0.3032,0.004,85.68087321636916,0.07643774770426087,,,30500,0.004
30750,0.692,0.304,0.004,85.68278275913993,0.0764276053323742,,,30750,0.004
31000,0.6928,0.3032,0.004,85.68107229264585,0.07644073125086807,,,31000,0.004
31250,0.6928,0.3032,0.004,85.68055675937808,0.07644464355538606,,,31250,0.004
31500,0.6928,0.3032,0.004,85.67949269116207,0.07645342218337976,,,31500,0.004
31750,0.6928,0.3036,0.0036,85.68811663123698,0.07637101227175636,,,31750,0.0036
32000,0.6924,0.3036,0.004,85.67955095405262,0.07645052233933587,,,32000,0.004
32250,0.6928,0.3032,0.004,85.68142231854813,0.07643703790821284,,,32250,0.004
32500,0.6924,0.3036,0.004,85.68093579574584,0.0764435735052285,,,32500,0.004
32750,0.6924,0.3036,0.004,85.67991907581465,0.07645181958537173,,,32750,0.004
33000,0.6924,0.3036,0.004,85.68090796707192,0.07644087478807023,,,33000,0.004
33250,0.692,0.304,0.004,85.6811639684901,0.0764364073213585,,,33250,0.004
33500,0.692,0.304,0.004,85.68128820589725,0.07643349917039231,,,33500,0.004
33750,0.6916,0.3044,0.004,85.68276178430384,0.07642293712549929,,,33750,0.004
34000,0.692,0.304,0.004,85.681202852988,0.07643643981135011,,,34000,0.004
34250,0.6924,0.3036,0.004,85.68010393823883,0.0764451009546454,,,34250,0.004
34500,0.6924,0.3036,0.004,85.6816387353706,0.0764321540995782,,,34500,0.004
34750,0.6916,0.3044,0.004,85.6843705522531,0.07641441226355052,,,34750,0.004
35000,0.692,0.304,0.004,85.68364090241165,0.07641987231994998,,,35000,0.004
35250,0.6924,0.3036,0.004,85.6830649587655,0.07642418702233468,,,35250,0.004
35500,0.694,0.3028,0.0032,85.70763646229739,0.07620844642347556,,,35500,0.0032
35750,0.6936,0.3032,0.0032,85.79681389295082,0.0752224972363515,,,35750,0.0032
36000,0.694,0.3028,0.0032,85.79539949175694,0.07523222322584797,,,36000,0.0032
36250,0.6944,0.3024,0.0032,85.79745724866596,0.0752164113911827,,,36250,0.0032
36500,0.6944,0.3024,0.0032,85.79597299026754,0.07522994709470679,,,36500,0.0032
36750,0.694,0.3028,0.0032,85.79556909125931,0.07523281139785451,,,36750,0.0032
37000,0.694,0.3028,0.0032,85.79633715068395,0.07522600979465194,,,37000,0.0032
37250,0.694,0.3028,0.0032,85.79698815896546,0.07521700389445947,,,37250,0.0032
37500,0.694,0.3028,0.0032,85.79628428909855,0.07522156128541052,,,37500,0.0032
37750,0.6936,0.3032,0.0032,85.79867204364162,0.07520415977156203,,,37750,0.0032
38000,0.6932,0.3036,0.0032,85.79729391414492,0.07521523788327875,,,38000,0.0032
38250,0.6936,0.3032,0.0032,85.79623538114214,0.07522380708833809,,,38250,0.0032
38500,0.6932,0.3036,0.0032,85.79779097987257,0.07521228338201608,,,38500,0.0032
38750,0.6928,0.304,0.0032,85.79994628887542,0.07519932391332591,,,38750,0.0032
39000,0.6932,0.3036,0.0032,85.79795530912233,0.07521651876374022,,,39000,0.0032
39250,0.6932,0.3036,0.0032,85.79804063180693,0.07521820184128425,,,39250,0.0032
39500,0.6936,0.3032,0.0032,85.79624847436794,0.07523061735067565,,,39500,0.0032
39750,0.6928,0.304,0.0032,85.79911498847355,0.07520375419240687,,,39750,0.0032
40000,0.6936,0.3032,0.0032,85.8051507945714,0.07515155426781972,,,40000,0.0032
40250,0.694,0.3028,0.0032,85.79903428450905,0.0752048736041355,,,40250,0.0032
40500,0.6936,0.3032,0.0032,85.79727083462691,0.07522062158636784,,,40500,0.0032
40750,0.694,0.3028,0.0032,85.79568590174007,0.07523490082970026,,,40750,0.0032
41000,0.6936,0.3032,0.0032,85.79650114643019,0.0752260361726573,,,41000,0.0032
41250,0.6936,0.3032,0.0032,85.79670134823124,0.0752216431492877,,,41250,0.0032
41500,0.6936,0.3032,0.0032,85.79675724216519,0.07521966161377973,,,41500,0.0032
41750,0.694,0.3028,0.0032,85.79808223004959,0.07521064671412209,,,41750,0.0032
42000,0.6936,0.3032,0.0032,85.79714398135016,0.07521787912450438,,,42000,0.0032
42250,0.694,0.3028,0.0032,85.79495820288471,0.07523577166062341,,,42250,0.0032
42500,0.6928,0.304,0.0032,85.79850284004726,0.07520725383607772,,,42500,0.0032
42750,0.692,0.3048,0.0032,85.79971641654338,0.0752030685848456,,,42750,0.0032
43000,0.6924,0.3044,0.0032,85.79962088476519,0.0752036468294961,,,43000,0.0032
43250,0.6928,0.3036,0.0036,85.7977099514903,0.07521701792578256,,,43250,0.0036
43500,0.6932,0.3032,0.0036,85.80506928493614,0.0751318121537323,,,43500,0.0036
43750,0.6928,0.3036,0.0036,85.80589058547989,0.07512316410853495,,,43750,0.0036
44000,0.694,0.3024,0.0036,85.80187351899289,0.07515357663358022,,,44000,0.0036
44250,0.694,0.3024,0.0036,85.81055123075073,0.07507585968127724,,,44250,0.0036
44500,0.694,0.3024,0.0036,85.80176241424245,0.0751564900729754,,,44500,0.0036
44750,0.694,0.3024,0.0036,85.8021002246197,0.07515586948841169,,,44750,0.0036
45000,0.694,0.3024,0.0036,85.81621206324142,0.07499325863696187,,,45000,0.0036
45250,0.694,0.3024,0.0036,85.81393963108508,0.07501358725424927,,,45250,0.0036
45500,0.6936,0.3028,0.0036,85.81368399129008,0.07501685593227261,,,45500,0.0036
45750,0.6936,0.3028,0.0036,85.81550285000105,0.07500187072951868,,,45750,0.0036
46000,0.6944,0.302,0.0036,85.81298299250486,0.07502123713916488,,,46000,0.0036
46250,0.694,0.3024,0.0036,85.81217996485836,0.07502824053912349,,,46250,0.0036
46500,0.6944,0.302,0.0036,85.81287837725917,0.07502293249754569,,,46500,0.0036
46750,0.6932,0.3032,0.0036,85.81734650826424,0.07499078801481633,,,46750,0.0036
47000,0.694,0.3024,0.0036,85.81444738753932,0.07501389961466608,,,47000,0.0036
47250,0.6936,0.3028,0.0036,85.8166720041299,0.07499460923277955,,,47250,0.0036
47500,0.6936,0.3028,0.0036,85.81525765216064,0.07500531023108657,,,47500,0.0036
47750,0.6936,0.3028,0.0036,85.8149532615493,0.07500533480330139,,,47750,0.0036
48000,0.694,0.3024,0.0036,85.81361630225466,0.07501691003873069,,,48000,0.0036
48250,0.694,0.3024,0.0036,85.8152170578037,0.07500448443790292,,,48250,0.0036
48500,0.6936,0.3028,0.0036,85.81522238241737,0.07500352190990303,,,48500,0.0036
48750,0.6936,0.3028,0.0036,85.81336269073543,0.07501981720952992,,,48750,0.0036
49000,0.6936,0.3028,0.0036,85.81373635618016,0.07501389483480467,,,49000,0.0036
49250,0.6928,0.3036,0.0036,85.81501801885085,0.07500735590068217,,,49250,0.0036
49500,0.6932,0.3032,0.0036,85.81481983913999,0.07500678413848191,,,49500,0.0036
49750,0.6928,0.3036,0.0036,85.81653403368611,0.07499376618612057,,,49750,0.0036
50000,0.6936,0.3028,0.0036,85.81544870031833,0.07500137989006951,,,50000,0.0036
